date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:41:16	85224/85224	---M--	200	added ('OK')	font/otf	etag:%222920d3c-14ce8-56144176377d1%22	https://cryptohawk.com/fonts/Loew-Light.otf	D:/HT%20TRACK/https___cryptohawk.com_/cryptohawk.com/fonts/Loew-Light.otf	(from https://cryptohawk.com/css/style.css)
19:41:17	46504/46504	---M--	200	added ('OK')	font/woff	etag:%22292054c-b5a8-56199efc1e5e3%22	https://cryptohawk.com/fonts/Loew-Light.woff	D:/HT%20TRACK/https___cryptohawk.com_/cryptohawk.com/fonts/Loew-Light.woff	(from https://cryptohawk.com/css/style.css)
19:41:18	112624/112624	---M--	200	added ('OK')	font/ttf	etag:%222920d50-1b7f0-56199efb66c63%22	https://cryptohawk.com/fonts/Loew-Light.ttf	D:/HT%20TRACK/https___cryptohawk.com_/cryptohawk.com/fonts/Loew-Light.ttf	(from https://cryptohawk.com/css/style.css)
19:41:18	335810/335810	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%222920cde-51fc2-56199efb5ff03%22	https://cryptohawk.com/fonts/Loew-Light.svg	D:/HT%20TRACK/https___cryptohawk.com_/cryptohawk.com/fonts/Loew-Light.svg	(from https://cryptohawk.com/css/style.css)
19:41:20	112924/112924	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%222920cdd-1b91c-56199efaa6643%22	https://cryptohawk.com/fonts/Loew-Light.eot?	D:/HT%20TRACK/https___cryptohawk.com_/cryptohawk.com/fonts/Loew-Lightd41d.eot	(from https://cryptohawk.com/css/style.css)
19:41:20	113308/113308	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%222920daa-1ba9c-56199efce49c3%22	https://cryptohawk.com/fonts/Loew-Medium.eot	D:/HT%20TRACK/https___cryptohawk.com_/cryptohawk.com/fonts/Loew-Medium.eot	(from https://cryptohawk.com/css/style.css)
19:41:21	31020/31020	---M--	200	added ('OK')	font/woff2	etag:%222920d1e-792c-56199efe38743%22	https://cryptohawk.com/fonts/Loew-Medium.woff2	D:/HT%20TRACK/https___cryptohawk.com_/cryptohawk.com/fonts/Loew-Medium.woff2	(from https://cryptohawk.com/css/style.css)
19:41:22	46084/46084	---M--	200	added ('OK')	font/woff	etag:%222920d14-b404-56199efdeb4e3%22	https://cryptohawk.com/fonts/Loew-Medium.woff	D:/HT%20TRACK/https___cryptohawk.com_/cryptohawk.com/fonts/Loew-Medium.woff	(from https://cryptohawk.com/css/style.css)
19:41:23	113004/113004	---M--	200	added ('OK')	font/ttf	etag:%222920db4-1b96c-56199efda8e63%22	https://cryptohawk.com/fonts/Loew-Medium.ttf	D:/HT%20TRACK/https___cryptohawk.com_/cryptohawk.com/fonts/Loew-Medium.ttf	(from https://cryptohawk.com/css/style.css)
19:41:23	341404/341404	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%222920db3-5359c-56199efd2aec3%22	https://cryptohawk.com/fonts/Loew-Medium.svg	D:/HT%20TRACK/https___cryptohawk.com_/cryptohawk.com/fonts/Loew-Medium.svg	(from https://cryptohawk.com/css/style.css)
19:41:31	31168/31168	---M--	200	added ('OK')	font/woff2	etag:%222920d49-79c0-56199efa1ea63%22	https://cryptohawk.com/fonts/Loew-Bold.woff2	D:/HT%20TRACK/https___cryptohawk.com_/cryptohawk.com/fonts/Loew-Bold.woff2	(from https://cryptohawk.com/css/style.css)
19:41:31	111412/111412	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%222920cda-1b334-56199ef8c6e63%22	https://cryptohawk.com/fonts/Loew-Bold.eot	D:/HT%20TRACK/https___cryptohawk.com_/cryptohawk.com/fonts/Loew-Bold.eot	(from https://cryptohawk.com/css/style.css)
19:41:32	113308/113308	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%222920daa-1ba9c-56199efce49c3%22	https://cryptohawk.com/fonts/Loew-Medium.eot?	D:/HT%20TRACK/https___cryptohawk.com_/cryptohawk.com/fonts/Loew-Mediumd41d.eot	(from https://cryptohawk.com/css/style.css)
19:41:32	46148/46148	---M--	200	added ('OK')	font/woff	etag:%222920be1-b444-56199ef9cc9e3%22	https://cryptohawk.com/fonts/Loew-Bold.woff	D:/HT%20TRACK/https___cryptohawk.com_/cryptohawk.com/fonts/Loew-Bold.woff	(from https://cryptohawk.com/css/style.css)
19:41:33	337200/337200	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%222920cdb-52530-56199ef90a483%22	https://cryptohawk.com/fonts/Loew-Bold.svg	D:/HT%20TRACK/https___cryptohawk.com_/cryptohawk.com/fonts/Loew-Bold.svg	(from https://cryptohawk.com/css/style.css)
19:41:35	50513/50513	---M--	200	added ('OK')	image/png	etag:%22292056d-c551-56178ccf21145%22	https://cryptohawk.com/images/logo.png	D:/HT%20TRACK/https___cryptohawk.com_/cryptohawk.com/images/logo.png	(from https://cryptohawk.com/css/style.css)
19:41:35	20206/20206	---M--	200	added ('OK')	image/png	etag:%222920925-4eee-5616a9f785db6%22	https://cryptohawk.com/images/logo_top.png	D:/HT%20TRACK/https___cryptohawk.com_/cryptohawk.com/images/logo_top.png	(from https://cryptohawk.com/css/style.css)
19:41:36	3235/3235	---M--	200	added ('OK')	image/png	etag:%222920908-ca3-5616a9f738b56%22	https://cryptohawk.com/images/logo_bottom.png	D:/HT%20TRACK/https___cryptohawk.com_/cryptohawk.com/images/logo_bottom.png	(from https://cryptohawk.com/css/style.css)
19:41:36	79488/79488	---M--	200	added ('OK')	image/jpeg	etag:%222920591-13680-5616a9f5341b6%22	https://cryptohawk.com/images/bg_lines.jpg	D:/HT%20TRACK/https___cryptohawk.com_/cryptohawk.com/images/bg_lines.jpg	(from https://cryptohawk.com/css/style.css)
19:41:37	46664/46664	---M--	200	added ('OK')	image/png	etag:%222920592-b648-5616a9f530336%22	https://cryptohawk.com/images/carusel.png	D:/HT%20TRACK/https___cryptohawk.com_/cryptohawk.com/images/carusel.png	(from https://cryptohawk.com/css/style.css)
19:41:38	228378/228378	---M--	200	added ('OK')	image/jpeg	etag:%222920d13-37c1a-56198afe3f993%22	https://cryptohawk.com/upload/cart_1.jpg	D:/HT%20TRACK/https___cryptohawk.com_/cryptohawk.com/upload/cart_1.jpg	(from https://cryptohawk.com/css/style.css)
19:41:39	165719/165719	---M--	200	added ('OK')	image/jpeg	etag:%222920d11-28757-56193d6763285%22	https://cryptohawk.com/upload/bg.jpg	D:/HT%20TRACK/https___cryptohawk.com_/cryptohawk.com/upload/bg.jpg	(from https://cryptohawk.com/css/style.css)
19:41:41	278077/278077	---M--	200	added ('OK')	image/jpeg	etag:%222920d4e-43e3d-561a2e64e850e%22	https://cryptohawk.com/upload/map_last_slide.jpg	D:/HT%20TRACK/https___cryptohawk.com_/cryptohawk.com/upload/map_last_slide.jpg	(from https://cryptohawk.com/css/style.css)
19:41:41	65960/65960	---M--	200	added ('OK')	image/png	etag:%222920584-101a8-5616a9f6070b6%22	https://cryptohawk.com/images/flags.png	D:/HT%20TRACK/https___cryptohawk.com_/cryptohawk.com/images/flags.png	(from https://cryptohawk.com/css/intlTelInput.css)
19:41:42	39435/39435	---M-Z	200	added ('OK')	application/x-javascript	date:Sat,%2010%20Mar%202018%2014:11:42%20GMT	https://connect.facebook.net/en_US/fbevents.js	D:/HT%20TRACK/https___cryptohawk.com_/connect.facebook.net/en_US/fbevents.js	(from https://cryptohawk.com/register)
19:41:42	173609/173609	---M--	200	added ('OK')	image/png	etag:%222920585-2a629-5616a9f6e0d16%22	https://cryptohawk.com/images/flags@2x.png	D:/HT%20TRACK/https___cryptohawk.com_/cryptohawk.com/images/flags@2x.png	(from https://cryptohawk.com/css/intlTelInput.css)
19:41:44	33830/33830	---MCZ	200	added ('OK')	text/html	date:Sat,%2010%20Mar%202018%2014:11:44%20GMT	https://cryptohawk.com/index	D:/HT%20TRACK/https___cryptohawk.com_/cryptohawk.com/index-2.html	(from https://cryptohawk.com/register)
19:41:45	9152/9152	---MCZ	200	added ('OK')	text/html	date:Sat,%2010%20Mar%202018%2014:11:45%20GMT	https://cryptohawk.com/register?lang=german	D:/HT%20TRACK/https___cryptohawk.com_/cryptohawk.com/register811a.html	(from https://cryptohawk.com/register)
19:41:45	9362/9362	---MCZ	200	added ('OK')	text/html	date:Sat,%2010%20Mar%202018%2014:11:45%20GMT	https://cryptohawk.com/register?lang=russian	D:/HT%20TRACK/https___cryptohawk.com_/cryptohawk.com/registerb917.html	(from https://cryptohawk.com/register)
19:41:46	9123/9123	---MCZ	200	added ('OK')	text/html	date:Sat,%2010%20Mar%202018%2014:11:46%20GMT	https://cryptohawk.com/register?lang=italian	D:/HT%20TRACK/https___cryptohawk.com_/cryptohawk.com/register9fff.html	(from https://cryptohawk.com/register)
19:41:46	1108259/1108259	---M--	200	added ('OK')	image/jpeg	etag:%22292058f-10e923-56193d6c8e664%22	https://cryptohawk.com/upload/earth-1149733.jpg	D:/HT%20TRACK/https___cryptohawk.com_/cryptohawk.com/upload/earth-1149733.jpg	(from https://cryptohawk.com/css/style.css)
19:41:46	9216/9216	---MCZ	200	added ('OK')	text/html	date:Sat,%2010%20Mar%202018%2014:11:46%20GMT	https://cryptohawk.com/register?lang=spanish	D:/HT%20TRACK/https___cryptohawk.com_/cryptohawk.com/register38a3.html	(from https://cryptohawk.com/register)
19:41:47	205/205	---MCZ	302	error ('Found')	text/html	date:Sat,%2010%20Mar%202018%2014:11:47%20GMT	https://cryptohawk.com/whitepaper	D:/HT%20TRACK/https___cryptohawk.com_/cryptohawk.com/whitepaper	(from https://cryptohawk.com/register)
19:41:47	23292/23292	---MCZ	200	added ('OK')	application/javascript	etag:W/%222920588-5afc-5616a9fac8d16%22	https://cryptohawk.com/js/intlTelInput.min.js	D:/HT%20TRACK/https___cryptohawk.com_/cryptohawk.com/js/intlTelInput.min.js	(from https://cryptohawk.com/register)
19:41:48	205/205	---MCZ	302	error ('Found')	text/html	date:Sat,%2010%20Mar%202018%2014:11:48%20GMT	https://cryptohawk.com/whitepaper-german	D:/HT%20TRACK/https___cryptohawk.com_/cryptohawk.com/whitepaper-german	(from https://cryptohawk.com/?lang=german)
19:41:49	205/205	---MCZ	302	error ('Found')	text/html	date:Sat,%2010%20Mar%202018%2014:11:49%20GMT	https://cryptohawk.com/whitepaper	D:/HT%20TRACK/https___cryptohawk.com_/cryptohawk.com/whitepaper	(from https://cryptohawk.com/?lang=russian)
19:41:49	205/205	---MCZ	302	error ('Found')	text/html	date:Sat,%2010%20Mar%202018%2014:11:49%20GMT	https://cryptohawk.com/whitepaper	D:/HT%20TRACK/https___cryptohawk.com_/cryptohawk.com/whitepaper	(from https://cryptohawk.com/?lang=italian)
19:41:49	33588/33588	---MCZ	200	added ('OK')	text/html	date:Sat,%2010%20Mar%202018%2014:11:49%20GMT	https://cryptohawk.com/?lang=english	D:/HT%20TRACK/https___cryptohawk.com_/cryptohawk.com/index1d29.html	(from https://cryptohawk.com/?lang=german)
19:41:51	8105/8105	---MCZ	200	added ('OK')	text/html	date:Sat,%2010%20Mar%202018%2014:11:51%20GMT	https://cryptohawk.com/login?lang=german	D:/HT%20TRACK/https___cryptohawk.com_/cryptohawk.com/login811a.html	(from https://cryptohawk.com/login)
19:41:51	34281/34281	---MCZ	200	added ('OK')	text/html	date:Sat,%2010%20Mar%202018%2014:11:51%20GMT	https://cryptohawk.com/?lang=spanish	D:/HT%20TRACK/https___cryptohawk.com_/cryptohawk.com/index38a3.html	(from https://cryptohawk.com/)
19:41:51	8374/8374	---MCZ	200	added ('OK')	text/html	date:Sat,%2010%20Mar%202018%2014:11:51%20GMT	https://cryptohawk.com/login?lang=russian	D:/HT%20TRACK/https___cryptohawk.com_/cryptohawk.com/loginb917.html	(from https://cryptohawk.com/login)
19:41:52	8084/8084	---MCZ	200	added ('OK')	text/html	date:Sat,%2010%20Mar%202018%2014:11:52%20GMT	https://cryptohawk.com/login?lang=italian	D:/HT%20TRACK/https___cryptohawk.com_/cryptohawk.com/login9fff.html	(from https://cryptohawk.com/login)
19:41:52	8190/8190	---MCZ	200	added ('OK')	text/html	date:Sat,%2010%20Mar%202018%2014:11:52%20GMT	https://cryptohawk.com/login?lang=spanish	D:/HT%20TRACK/https___cryptohawk.com_/cryptohawk.com/login38a3.html	(from https://cryptohawk.com/login)
19:41:53	205/205	---MCZ	302	error ('Found')	text/html	date:Sat,%2010%20Mar%202018%2014:11:53%20GMT	https://cryptohawk.com/whitepaper	D:/HT%20TRACK/https___cryptohawk.com_/cryptohawk.com/whitepaper	(from https://cryptohawk.com/login)
19:42:24	31169583/31169583	---M--	200	added ('OK')	video/mp4	etag:%222920d24-1db9c2f-56193d8c85fe3%22	https://cryptohawk.com/upload/video.mp4	D:/HT%20TRACK/https___cryptohawk.com_/cryptohawk.com/upload/video.mp4	(from https://cryptohawk.com/)
19:42:26	9050/9050	---MCZ	200	added ('OK')	text/html	date:Sat,%2010%20Mar%202018%2014:12:26%20GMT	https://cryptohawk.com/impressum?lang=italian	D:/HT%20TRACK/https___cryptohawk.com_/cryptohawk.com/impressum9fff.html	(from https://cryptohawk.com/impressum)
19:42:27	9050/9050	---MCZ	200	added ('OK')	text/html	date:Sat,%2010%20Mar%202018%2014:12:27%20GMT	https://cryptohawk.com/impressum?lang=english	D:/HT%20TRACK/https___cryptohawk.com_/cryptohawk.com/impressum1d29.html	(from https://cryptohawk.com/impressum)
19:42:27	9091/9091	---MCZ	200	added ('OK')	text/html	date:Sat,%2010%20Mar%202018%2014:12:27%20GMT	https://cryptohawk.com/impressum?lang=russian	D:/HT%20TRACK/https___cryptohawk.com_/cryptohawk.com/impressumb917.html	(from https://cryptohawk.com/impressum)
19:42:28	9057/9057	---MCZ	200	added ('OK')	text/html	date:Sat,%2010%20Mar%202018%2014:12:28%20GMT	https://cryptohawk.com/impressum?lang=german	D:/HT%20TRACK/https___cryptohawk.com_/cryptohawk.com/impressum811a.html	(from https://cryptohawk.com/impressum)
19:42:28	9056/9056	---MCZ	200	added ('OK')	text/html	date:Sat,%2010%20Mar%202018%2014:12:28%20GMT	https://cryptohawk.com/impressum?lang=spanish	D:/HT%20TRACK/https___cryptohawk.com_/cryptohawk.com/impressum38a3.html	(from https://cryptohawk.com/impressum)
19:42:29	205/205	---MCZ	302	error ('Found')	text/html	date:Sat,%2010%20Mar%202018%2014:12:29%20GMT	https://cryptohawk.com/whitepaper	D:/HT%20TRACK/https___cryptohawk.com_/cryptohawk.com/whitepaper	(from https://cryptohawk.com/impressum)
19:42:31	111132/111132	---M--	200	added ('OK')	font/ttf	etag:%222920cdc-1b21c-56199ef992063%22	https://cryptohawk.com/fonts/Loew-Bold.ttf	D:/HT%20TRACK/https___cryptohawk.com_/cryptohawk.com/fonts/Loew-Bold.ttf	(from https://cryptohawk.com/css/style.css)
19:42:31	111412/111412	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%222920cda-1b334-56199ef8c6e63%22	https://cryptohawk.com/fonts/Loew-Bold.eot?	D:/HT%20TRACK/https___cryptohawk.com_/cryptohawk.com/fonts/Loew-Boldd41d.eot	(from https://cryptohawk.com/css/style.css)
19:42:32	33830/33830	---MCZ	200	added ('OK')	text/html	date:Sat,%2010%20Mar%202018%2014:12:32%20GMT	https://cryptohawk.com/index?lang=italian	D:/HT%20TRACK/https___cryptohawk.com_/cryptohawk.com/index9fff-2.html	(from https://cryptohawk.com/index)
19:42:33	33588/33588	---MCZ	200	added ('OK')	text/html	date:Sat,%2010%20Mar%202018%2014:12:34%20GMT	https://cryptohawk.com/index?lang=english	D:/HT%20TRACK/https___cryptohawk.com_/cryptohawk.com/index1d29-2.html	(from https://cryptohawk.com/index)
19:42:35	38641/38641	---MCZ	200	added ('OK')	text/html	date:Sat,%2010%20Mar%202018%2014:12:35%20GMT	https://cryptohawk.com/index?lang=russian	D:/HT%20TRACK/https___cryptohawk.com_/cryptohawk.com/indexb917-2.html	(from https://cryptohawk.com/index)
19:42:36	34392/34392	---MCZ	200	added ('OK')	text/html	date:Sat,%2010%20Mar%202018%2014:12:37%20GMT	https://cryptohawk.com/index?lang=german	D:/HT%20TRACK/https___cryptohawk.com_/cryptohawk.com/index811a-2.html	(from https://cryptohawk.com/index)
19:42:38	34281/34281	---MCZ	200	added ('OK')	text/html	date:Sat,%2010%20Mar%202018%2014:12:38%20GMT	https://cryptohawk.com/index?lang=spanish	D:/HT%20TRACK/https___cryptohawk.com_/cryptohawk.com/index38a3-2.html	(from https://cryptohawk.com/index)
19:42:38	205/205	---MCZ	302	error ('Found')	text/html	date:Sat,%2010%20Mar%202018%2014:12:39%20GMT	https://cryptohawk.com/whitepaper	D:/HT%20TRACK/https___cryptohawk.com_/cryptohawk.com/whitepaper	(from https://cryptohawk.com/index)
19:42:39	9145/9145	---MCZ	200	added ('OK')	text/html	date:Sat,%2010%20Mar%202018%2014:12:39%20GMT	https://cryptohawk.com/register?lang=english	D:/HT%20TRACK/https___cryptohawk.com_/cryptohawk.com/register1d29.html	(from https://cryptohawk.com/register?lang=german)
19:42:40	205/205	---MCZ	302	error ('Found')	text/html	date:Sat,%2010%20Mar%202018%2014:12:40%20GMT	https://cryptohawk.com/whitepaper-german	D:/HT%20TRACK/https___cryptohawk.com_/cryptohawk.com/whitepaper-german	(from https://cryptohawk.com/register?lang=german)
19:42:40	205/205	---MCZ	302	error ('Found')	text/html	date:Sat,%2010%20Mar%202018%2014:12:40%20GMT	https://cryptohawk.com/whitepaper	D:/HT%20TRACK/https___cryptohawk.com_/cryptohawk.com/whitepaper	(from https://cryptohawk.com/register?lang=russian)
19:42:41	205/205	---MCZ	302	error ('Found')	text/html	date:Sat,%2010%20Mar%202018%2014:12:41%20GMT	https://cryptohawk.com/whitepaper	D:/HT%20TRACK/https___cryptohawk.com_/cryptohawk.com/whitepaper	(from https://cryptohawk.com/register?lang=italian)
19:42:41	205/205	---MCZ	302	error ('Found')	text/html	date:Sat,%2010%20Mar%202018%2014:12:41%20GMT	https://cryptohawk.com/whitepaper	D:/HT%20TRACK/https___cryptohawk.com_/cryptohawk.com/whitepaper	(from https://cryptohawk.com/register?lang=spanish)
19:42:42	1108/1108	---MCZ	200	added ('OK')	application/javascript	etag:W/%222920589-454-5616a9fb67056%22	https://cryptohawk.com/js/login.js	D:/HT%20TRACK/https___cryptohawk.com_/cryptohawk.com/js/login.js	(from https://cryptohawk.com/register)
19:42:42	205/205	---MCZ	302	error ('Found')	text/html	date:Sat,%2010%20Mar%202018%2014:12:42%20GMT	https://cryptohawk.com/whitepaper	D:/HT%20TRACK/https___cryptohawk.com_/cryptohawk.com/whitepaper	(from https://cryptohawk.com/?lang=english)
19:42:42	205/205	---MCZ	302	error ('Found')	text/html	date:Sat,%2010%20Mar%202018%2014:12:43%20GMT	https://cryptohawk.com/whitepaper	D:/HT%20TRACK/https___cryptohawk.com_/cryptohawk.com/whitepaper	(from https://cryptohawk.com/?lang=spanish)
19:42:43	8090/8090	---MCZ	200	added ('OK')	text/html	date:Sat,%2010%20Mar%202018%2014:12:43%20GMT	https://cryptohawk.com/login?lang=english	D:/HT%20TRACK/https___cryptohawk.com_/cryptohawk.com/login1d29.html	(from https://cryptohawk.com/login?lang=german)
19:42:44	205/205	---MCZ	302	error ('Found')	text/html	date:Sat,%2010%20Mar%202018%2014:12:44%20GMT	https://cryptohawk.com/whitepaper-german	D:/HT%20TRACK/https___cryptohawk.com_/cryptohawk.com/whitepaper-german	(from https://cryptohawk.com/login?lang=german)
19:42:44	205/205	---MCZ	302	error ('Found')	text/html	date:Sat,%2010%20Mar%202018%2014:12:44%20GMT	https://cryptohawk.com/whitepaper	D:/HT%20TRACK/https___cryptohawk.com_/cryptohawk.com/whitepaper	(from https://cryptohawk.com/login?lang=russian)
19:42:45	205/205	---MCZ	302	error ('Found')	text/html	date:Sat,%2010%20Mar%202018%2014:12:45%20GMT	https://cryptohawk.com/whitepaper	D:/HT%20TRACK/https___cryptohawk.com_/cryptohawk.com/whitepaper	(from https://cryptohawk.com/login?lang=italian)
19:42:45	205/205	---MCZ	302	error ('Found')	text/html	date:Sat,%2010%20Mar%202018%2014:12:46%20GMT	https://cryptohawk.com/whitepaper	D:/HT%20TRACK/https___cryptohawk.com_/cryptohawk.com/whitepaper	(from https://cryptohawk.com/login?lang=spanish)
19:42:46	205/205	---MCZ	302	error ('Found')	text/html	date:Sat,%2010%20Mar%202018%2014:12:46%20GMT	https://cryptohawk.com/whitepaper	D:/HT%20TRACK/https___cryptohawk.com_/cryptohawk.com/whitepaper	(from https://cryptohawk.com/impressum?lang=italian)
19:42:46	205/205	---MCZ	302	error ('Found')	text/html	date:Sat,%2010%20Mar%202018%2014:12:47%20GMT	https://cryptohawk.com/whitepaper	D:/HT%20TRACK/https___cryptohawk.com_/cryptohawk.com/whitepaper	(from https://cryptohawk.com/impressum?lang=english)
